fco(MPa), d(mm), L(mm), ff(MPa), Ef(GPa), tf(mm), fcc(MPa)
35.6,150,300,1150,62.2,3.8,192.21
35.6,150,300,1150,62.2,3.8,186.35
35.6,150,300,1150,62.2,4.3,243.86
35.6,150,300,1150,62.2,4.3,243.92
30.2,100,200,2589,97.1,0.15,39
30.2,100,200,2707,87.3,0.29,68.5
30.2,100,200,2667,87.3,0.44,92.1
43,150,300,230,13.6,1.27,47.3
43,150,300,230,13.6,2.56,58.9
43,150,300,230,13.6,3.86,71
43,150,300,230,13.6,5.21,74.4
44.7,150,300,602,31.2,0.7,52.23
44.7,150,300,602,31.2,1.4,76.85
44.7,150,300,602,31.2,2.1,103.45
44.7,150,300,602,31.2,2.8,136.89
36.2,150,300,602,31.2,0.7,48.15
36.2,150,300,602,31.2,1.4,75.3
36.2,150,300,602,31.2,2.1,98.46
33.3,150,300,602,31.2,0.7,50.28
33.3,150,300,602,31.2,1.4,78.59
33.3,150,300,602,31.2,2.1,103.9
54,150,300,602,31.2,0.7,61.56
54,150,300,602,31.2,1.4,84.24
54,150,300,602,31.2,2.1,111.24
44,76,305,2059,118,0.572,150.5
105,152,305,2900,120,0.8,118.5
102.2,152,305,2900,120,0.8,122.3
107.3,152,305,2900,120,1.2,151.2
106,152,305,2900,120,1.2,154.5
23.1,150,300,2323,115,0.286,45.2
23.1,150,300,2323,115,0.286,50.7
23.1,150,300,2323,115,0.286,53.7
82.4,100,200,2900,120,0.6,112.3
82.4,100,200,2900,120,0.6,107.3
85.9,100,200,2900,120,0.6,121.3
77.2,152,305,2900,120,0.6,102
79.6,152,305,2900,120,0.6,105
85.9,100,200,2900,120,0.6,148
85.9,100,200,2900,120,0.6,154.3
85.9,100,200,2900,120,0.6,159.7
110.1,100,200,2900,120,0.6,154.8
110.1,100,200,2900,120,0.6,150.9
110.1,100,200,2900,120,0.6,156.6
77,152,305,2900,120,0.6,118
110.1,100,200,2900,120,0.6,183.8
110.1,100,200,2900,120,0.6,190.9
110.1,100,200,2900,120,0.6,198.8
104.5,152,305,2900,120,0.6,165.4
104.5,152,305,2900,120,0.6,168.7
104.5,152,305,2900,120,0.6,178.9
85.9,100,200,2900,120,0.6,176.2
83,100,200,2900,120,0.6,154.9
85.9,100,200,2900,120,0.6,176.6
110.1,100,200,2900,120,0.6,232.4
110.1,100,200,2900,120,0.6,224.1
110.1,100,200,2900,120,0.6,244.6
46.4,100,300,2060,118,0.286,78.26
46.43,100,300,2060,118,0.572,128.49
46.43,100,300,2060,118,0.286,47.37
46.43,100,300,2060,118,0.572,60.61
46.43,100,300,2060,118,0.858,74.8
78.5,100,300,2060,118,0.286,118.33
78.5,100,300,2060,118,0.572,167.05
78.5,100,300,2060,118,0.858,185.78
78.5,100,300,2060,118,0.286,83.81
78.5,100,300,2060,118,0.572,93.85
78.5,100,300,2060,118,0.858,101.61
101.18,100,300,2060,118,0.286,123.27
101.18,100,300,2060,118,0.572,153.95
101.18,100,300,2060,118,0.858,204.51
101.18,100,300,2060,118,0.286,101.2
101.18,100,300,2060,118,0.572,116.13
101.18,100,300,2060,118,0.858,111.25
47.3,150,450,2060,118,0.572,84.3
51.1,150,450,2060,118,0.572,88.65
50.64,70,210,2060,118,0.057,70.44
50.64,105,315,2060,118,0.071,62.32
50.64,194,582,2060,118,0.143,56.99
28.79,70,210,2060,118,0.057,44.2
28.79,105,315,2060,118,0.072,41.2
28.79,194,582,2060,118,0.143,35.16
50.64,70,210,2060,118,0.095,79.81
50.64,105,315,2060,118,0.143,74.53
50.64,194,582,2060,118,0.286,70.5
28.79,70,210,2060,118,0.095,52.24
28.79,105,315,2060,118,0.143,47.77
28.79,194,582,2060,118,0.286,46.32
50.64,70,210,2060,118,0.191,111.43
50.64,105,315,2060,118,0.286,96.02
50.64,194,582,2060,118,0.572,107.3
28.79,70,210,2060,118,0.191,86.07
28.79,105,315,2060,118,0.286,87.42
28.79,194,582,2060,118,0.572,80.67
39,152,305,2900,120,0.4,69.2
39,152,305,2900,120,0.4,67.1
39,152,305,2900,120,0.6,85
39,152,305,2900,120,0.6,87.6
100,152,305,2900,120,0.8,122.3
102,152,305,2900,120,0.8,118.7
106,152,305,2900,120,1.2,154.7
106,152,305,2900,120,1.2,153.2
39.2,152,305,3732,115.2,0.169,61.4
39.2,152,305,3732,115.2,0.169,62.7
39.2,152,305,3732,115.2,0.169,55.8
39.2,152,305,3732,115.2,0.338,90.1
39.2,152,305,3732,115.2,0.338,88.3
39.2,152,305,3732,115.2,0.338,83.3
39.2,152,305,3732,115.2,0.507,113.2
39.2,152,305,3732,115.2,0.507,116.3
39.2,152,305,3732,115.2,0.507,118
109.8,152,305,2900,120,1.2,175.9
109.8,152,305,2900,120,1.2,151.6
109.8,152,305,2900,120,1.2,172.2
70,100,200,2930,99,0.6,70.5
79.5,100,200,2930,99,0.6,80.9
85.5,100,200,2930,99,0.6,87.6
80.5,100,200,2930,99,0.6,82.4
78,100,200,2930,99,0.6,79.1
74,100,200,2930,99,0.6,74.5
83,100,200,2930,99,0.6,108.3
83,100,200,2930,99,0.6,111.6
85.9,100,200,2930,99,0.6,117.3
85.9,100,200,2930,99,0.6,176.2
83,100,200,2930,99,0.6,154.9
85.9,100,200,2930,99,0.6,176.6
49.4,152,305,2900,116,0.6,104.6
49.4,152,305,2900,116,0.6,107.9
49.4,152,305,2900,116,0.6,106.3
49.4,152,305,2900,116,0.6,109.9
49.4,152,305,2900,116,0.6,109.9
49.4,152,305,2900,116,0.6,110.7
49.4,152,305,2900,116,0.6,109
49.4,152,305,2900,116,0.6,103.4
49.4,152,305,2900,116,0.6,105.3
49.4,152,305,2900,116,0.6,107.7
49.4,152,305,2900,116,0.6,104
49.4,152,305,2900,116,0.6,110.1
37,100,200,2663,125.7,0.2,70.6
35.5,100,200,2663,125.7,0.2,65.5
34,100,200,2663,125.7,0.2,62.8
37.2,100,200,2930,99,0.3,89.1
37.2,100,200,2930,99,0.3,91.9
35.4,100,200,2930,99,0.3,86.7
85.9,100,200,2663,125.7,0.4,121.3
82.4,100,200,2663,125.7,0.4,107.3
82.4,100,200,2663,125.7,0.4,112.3
85.9,100,200,2663,125.7,0.6,148.2
85.9,100,200,2663,125.7,0.6,154.3
85.9,100,200,2663,125.7,0.6,159.7
85.9,100,200,2930,99,0.6,176.2
83,100,200,2930,99,0.6,154.9
85.9,100,200,2930,99,0.6,176.6
79.6,152,305,2663,125.7,0.6,105
77.2,152,305,2663,125.7,0.6,102
77,152,305,2663,125.7,0.6,118
110.1,100,200,2663,125.7,0.6,154.8
110.1,100,200,2663,125.7,0.6,150.9
110.1,100,200,2663,125.7,0.6,156.6
110.1,100,200,2663,125.7,0.8,183.8
110.1,100,200,2663,125.7,0.8,190.9
110.1,100,200,2663,125.7,0.8,198.8
110.1,100,200,2930,99,0.9,232.4
110.1,100,200,2930,99,0.9,224.1
110.1,100,200,2930,99,0.9,244.6
104.5,152,305,2663,125.7,1.2,164.3
104.5,152,305,2663,125.7,1.2,168.7
104.5,152,305,2663,125.7,1.2,178.9
83.6,100,200,2900,116,0.4,113.6
77.9,152,305,2900,116,0.6,108.3
110.1,100,200,2900,116,0.8,187.4
104.5,152,305,2900,116,1.2,173.8
35.5,100,200,2900,116,0.2,66.3
110.1,100,200,2900,116,0.6,154.1
85.9,100,200,2900,116,0.6,154.1
36.6,100,200,2900,116,0.3,89.2
84.9,100,200,2900,116,0.6,169.2
110.1,100,200,2900,116,0.9,233.7
102.2,152,305,2900,116,0.8,122.3
49.4,152,305,2900,116,0.6,106.3
49.4,152,305,2900,116,0.6,105.9
57.5,152,305,2390,128.5,0.2,59.3
55.2,152,305,2390,128.5,0.2,57.4
55.2,152,305,2390,128.5,0.2,53.3
55.2,152,762,2390,128.5,0.2,56
55.2,152,762,2390,128.5,0.2,60.3
55.2,152,762,2390,128.5,0.2,61.5
57.5,152,152,2390,128.5,0.4,100
57.5,152,152,2390,128.5,0.4,96.3
57.5,152,152,2390,128.5,0.4,94.8
55.2,152,305,2390,128.5,0.4,79.1
55.2,152,305,2390,128.5,0.4,79.5
55.2,152,305,2390,128.5,0.4,80.7
57.5,152,762,2390,128.5,0.4,87.7
57.5,152,762,2390,128.5,0.4,87.6
57.5,152,762,2390,128.5,0.4,93.4
110.2,152,305,2390,128.5,0.6,110.5
110.2,152,305,2390,128.5,0.6,112.4
114.7,152,305,2390,128.5,0.6,126.6
114.7,152,762,2390,128.5,0.6,120.1
114.7,152,762,2390,128.5,0.6,123.3
119.3,152,762,2390,128.5,0.6,130.3
119.3,152,152,2390,128.5,0.8,201.4
114.7,152,152,2390,128.5,0.8,177.8
110.2,152,152,2390,128.5,0.8,195.3
110.2,152,305,2390,128.5,0.8,159.1
119.3,152,305,2390,128.5,0.8,158.6
119.3,152,305,2390,128.5,0.8,170.7
119.3,152,457,2390,128.5,0.8,169.7
119.3,152,457,2390,128.5,0.8,162.1
119.3,152,457,2390,128.5,0.8,158.5
119.3,152,762,2390,128.5,0.8,150.8
110.2,152,762,2390,128.5,0.8,166.1
119.3,152,762,2390,128.5,0.8,154.9
29.6,152,305,2390,128.5,0.2,52.5
29.6,152,305,2390,128.5,0.2,50.3
29.6,152,305,2390,128.5,0.2,50.5
49.6,152,305,2390,128.5,0.4,83.1
49.6,152,305,2390,128.5,0.4,87.2
49.6,152,305,2390,128.5,0.4,84
74.1,152,305,2390,128.5,0.6,123.5
74.1,152,305,2390,128.5,0.6,126.4
98,152,305,2390,128.5,0.8,125.8
98,152,305,2390,128.5,0.8,130.9
98,152,305,2390,128.5,0.8,132.8
18.9,200,750,2900,120,0.2,36.33